name                                                         old time/op    new time/op    delta
ImmcheckTransactions/[8]txs(1024);muts(1%);NoSnap-16           2.76MB ±19%    2.26MB ±12%  -18.18%  (p=0.000 n=10+10)
ImmcheckTransactions/[8]txs(1024);muts(0%);NoSnap;NoOrig-16    2.46MB ± 0%    1.98MB ± 0%  -19.22%  (p=0.000 n=10+10)
ImmcheckTransactions/[8]txs(1024);muts(1%);NoSnap;NoOrig-16    2.74MB ±13%    2.19MB ± 1%  -20.06%  (p=0.000 n=10+9)

name                                                         old allocs/op  new allocs/op  delta
ImmcheckBytes/[16384]byte;muts(0%)-16                           32.8k ± 0%     32.8k ± 0%   -0.02%  (p=0.000 n=10+10)
ImmcheckBytes/[16384]byte;muts(1%)-16                           32.8k ± 0%     32.8k ± 0%   -0.02%  (p=0.000 n=10+10)
ImmcheckBytes/[16384]byte;muts(0%);NoOrig-16                    32.8k ± 0%     32.8k ± 0%   -0.02%  (p=0.000 n=10+10)
ImmcheckBytes/[16384]byte;muts(1%);NoOrig-16                    32.8k ± 0%     32.8k ± 0%   -0.03%  (p=0.000 n=10+10)
ImmcheckBytes/[16384]byte;muts(0%);NoSnap-16                     20.0 ± 0%      12.0 ± 0%  -40.00%  (p=0.000 n=10+10)
ImmcheckBytes/[16384]byte;muts(1%);NoSnap-16                     23.0 ± 0%      15.0 ± 0%  -34.78%  (p=0.000 n=10+10)
ImmcheckBytes/[16384]byte;muts(0%);NoSnap;NoOrig-16              16.0 ± 0%       8.0 ± 0%  -50.00%  (p=0.000 n=10+10)
ImmcheckBytes/[16384]byte;muts(1%);NoSnap;NoOrig-16              19.0 ± 0%      11.0 ± 0%  -42.11%  (p=0.000 n=10+10)
ImmcheckTransactions/[8]txs(1024);muts(0%)-16                   26.1k ± 0%      1.1k ± 0%  -95.80%  (p=0.000 n=10+10)
ImmcheckTransactions/[8]txs(1024);muts(1%)-16                   27.4k ± 7%      3.6k ±68%  -86.75%  (p=0.000 n=10+10)
ImmcheckTransactions/[8]txs(1024);muts(0%);NoOrig-16            26.1k ± 0%      1.1k ± 0%  -95.82%  (p=0.000 n=10+10)
ImmcheckTransactions/[8]txs(1024);muts(1%);NoOrig-16            27.9k ±11%      3.7k ±67%  -86.66%  (p=0.000 n=10+10)
ImmcheckTransactions/[8]txs(1024);muts(0%);NoSnap-16            26.1k ± 0%      1.1k ± 0%  -95.81%  (p=0.000 n=9+10)
ImmcheckTransactions/[8]txs(1024);muts(1%);NoSnap-16            28.4k ±14%      3.2k ±66%  -88.70%  (p=0.000 n=10+10)
ImmcheckTransactions/[8]txs(1024);muts(0%);NoSnap;NoOrig-16     26.1k ± 0%      1.1k ± 0%  -95.83%  (p=0.000 n=10+10)
ImmcheckTransactions/[8]txs(1024);muts(1%);NoSnap;NoOrig-16     28.2k ±10%      2.7k ± 7%  -90.55%  (p=0.000 n=10+9)
