name                                                         old time/op    new time/op    delta
ImmcheckTransactions/[8]txs(1024);muts(0%);NoSnap;NoOrig-16    12.2kB ± 1%    11.4kB ± 3%   -6.93%  (p=0.008 n=5+5)
ImmcheckTransactions/[8]txs(1024);muts(1%);NoSnap;NoOrig-16     190kB ±93%    203kB ±109%     ~     (p=1.000 n=5+5)

name                                                         old allocs/op  new allocs/op  delta
ImmcheckBytes/[16384]byte;muts(0%)-16                           32.8k ± 0%     32.8k ± 0%     ~     (all equal)
ImmcheckBytes/[16384]byte;muts(1%)-16                           32.8k ± 0%     32.8k ± 0%     ~     (p=1.000 n=5+5)
ImmcheckBytes/[16384]byte;muts(0%);NoOrig-16                    32.8k ± 0%     32.8k ± 0%     ~     (all equal)
ImmcheckBytes/[16384]byte;muts(1%);NoOrig-16                    32.8k ± 0%     32.8k ± 0%     ~     (p=1.000 n=5+5)
ImmcheckBytes/[16384]byte;muts(0%);NoSnap-16                     5.00 ± 0%      5.00 ± 0%     ~     (all equal)
ImmcheckBytes/[16384]byte;muts(1%);NoSnap-16                     8.00 ± 0%      8.00 ± 0%     ~     (all equal)
ImmcheckBytes/[16384]byte;muts(0%);NoSnap;NoOrig-16              1.00 ± 0%      1.00 ± 0%     ~     (all equal)
ImmcheckBytes/[16384]byte;muts(1%);NoSnap;NoOrig-16              4.00 ± 0%      4.00 ± 0%     ~     (all equal)
ImmcheckTransactions/[8]txs(1024);muts(0%)-16                     120 ± 0%       120 ± 0%     ~     (all equal)
ImmcheckTransactions/[8]txs(1024);muts(1%)-16                     967 ±55%      607 ±115%     ~     (p=0.294 n=5+5)
ImmcheckTransactions/[8]txs(1024);muts(0%);NoOrig-16              116 ± 1%       116 ± 0%     ~     (p=0.444 n=5+5)
ImmcheckTransactions/[8]txs(1024);muts(1%);NoOrig-16              549 ±79%       665 ±96%     ~     (p=1.000 n=5+5)
ImmcheckTransactions/[8]txs(1024);muts(0%);NoSnap-16              118 ± 0%       118 ± 0%     ~     (all equal)
ImmcheckTransactions/[8]txs(1024);muts(1%);NoSnap-16             704 ±128%       787 ± 3%     ~     (p=0.730 n=5+4)
ImmcheckTransactions/[8]txs(1024);muts(0%);NoSnap;NoOrig-16       114 ± 0%       114 ± 0%     ~     (all equal)
ImmcheckTransactions/[8]txs(1024);muts(1%);NoSnap;NoOrig-16       823 ±86%       878 ±98%     ~     (p=1.000 n=5+5)
